"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Dumbledore","Harry","But now is not the time to tell it.","but now is not the time to tell it.","but now is not the time to tell it."," now    time  tell ."," now    time  tell "," now    time  tell "," now time tell ","now time tell","now time tell"
"Dumbledore","Harry","Take my arm.","take my arm.","take my arm.","take  arm.","take  arm","take  arm","take arm","take arm","take arm"
"Dumbledore","Harry","Do as I say.","do as i say.","do as i say.","   say.","   say","   say"," say","sai","say"
"Harry","Dumbledore","I hardly just Apparated, didn't I?","i hardly just apparated, didn't i?","i hardly just apparated, didn't i?"," hardly just apparated,  ?"," hardly just apparated  "," hardly just apparated  "," hardly just apparated ","hardli just appar","hardly just apparated"
"Dumbledore","Harry","Indeed. Quite successfully too, I might add.","indeed. quite successfully too, i might add.","indeed. quite successfully too, i might add.","indeed. quite successfully ,  might add.","indeed quite successfully   might add","indeed quite successfully   might add","indeed quite successfully might add","inde quit successfulli might add","indeed quite successfully may add"
"Dumbledore","Harry","Most people vomit the first time.","most people vomit the first time.","most people vomit the first time."," people vomit  first time."," people vomit  first time"," people vomit  first time"," people vomit first time","peopl vomit first time","people vomit first time"
"Harry","Dumbledore","Can't imagine why.","can't imagine why.","can't imagine why."," imagine ."," imagine "," imagine "," imagine ","imagin","imagine"
"Dumbledore","Harry","Welcome to the charming village of Budleigh Babberton.","welcome to the charming village of budleigh babberton.","welcome to the charming village of budleigh babberton.","welcome   charming village  budleigh babberton.","welcome   charming village  budleigh babberton","welcome   charming village  budleigh babberton","welcome charming village budleigh babberton","welcom charm villag budleigh babberton","welcome charm village budleigh babberton"
"Dumbledore","Harry","Harry, I assume right about now you must be wondering...why I brought you here?","harry, i assume right about now you must be wondering...why i brought you here?","harry, i assume right about now you must be wondering...why i brought you here?","harry,  assume right  now  must  wondering...  brought  ?","harry  assume right  now  must  wondering  brought  ","harry  assume right  now  must  wondering  brought  ","harry assume right now must wondering brought ","harri assum right now must wonder brought","harry assume right now must wonder bring"
"Dumbledore","Harry","Am I right?","am i right?","am i right?","  right?","  right","  right"," right","right","right"
"Harry","Dumbledore","Actually sir, after all these years, I just, sort of, go with it.","actually sir, after all these years, i just, sort of, go with it.","actually sir, after all these years, i just, sort of, go with it.","actually sir,    years,  just, sort , go  .","actually sir    years  just sort  go  ","actually sir    years  just sort  go  ","actually sir years just sort go ","actual sir year just sort go","actually sir year just sort go"
"Dumbledore","Harry","Wands on, Harry.","wands on, harry.","wands on, harry.","wands , harry.","wands  harry","wands  harry","wands harry","wand harri","wand harry"
"Dumbledore","Slughorn","Horace! Horace.","horace! horace.","horace! horace.","horace! horace.","horace horace","horace horace","horace horace","horac horac","horace horace"
"Slughorn","Dumbledore","Merlin's beard!","merlin's beard!","merlin's beard!","merlin's beard!","merlins beard","merlins beard","merlins beard","merlin beard","merlin beard"
"Slughorn","Dumbledore","You don't need to disfigure me, Albus.","you don't need to disfigure me, albus.","you don't need to disfigure me, albus.","  need  disfigure , albus.","  need  disfigure  albus","  need  disfigure  albus"," need disfigure albus","need disfigur albu","need disfigure albus"
"Dumbledore","Slughorn","Well I must say you made a very convincing armchair, Horace.","well i must say you made a very convincing armchair, horace.","well i must say you made a very convincing armchair, horace.","well  must say  made   convincing armchair, horace.","well  must say  made   convincing armchair horace","well  must say  made   convincing armchair horace","well must say made convincing armchair horace","well must sai made convinc armchair horac","good must say make convince armchair horace"
"Slughorn","Dumbledore","It's all in the upholstery.","it's all in the upholstery.","it's all in the upholstery.","    upholstery.","    upholstery","    upholstery"," upholstery","upholsteri","upholstery"
"Slughorn","Dumbledore","I come by this stuffing naturally.","i come by this stuffing naturally.","i come by this stuffing naturally."," come   stuffing naturally."," come   stuffing naturally"," come   stuffing naturally"," come stuffing naturally","come stuf natur","come stuff naturally"
"Slughorn","Dumbledore","What gave me away?","what gave me away?","what gave me away?"," gave  away?"," gave  away"," gave  away"," gave away","gave awai","give away"
"Dumbledore","Slughorn","Dragon's blood.","dragon's blood.","dragon's blood.","dragon's blood.","dragons blood","dragons blood","dragons blood","dragon blood","dragon blood"
"Dumbledore","Slughorn","Oh yes, introductions.","oh yes, introductions.","oh yes, introductions.","oh yes, introductions.","oh yes introductions","oh yes introductions","oh yes introductions","oh ye introduct","oh yes introduction"
"Slughorn","Harry","Harry, I'd like you to meet an old friend and colleague of mine--Horace Slughorn.","harry, i'd like you to meet an old friend and colleague of mine--horace slughorn.","harry, i'd like you to meet an old friend and colleague of mine--horace slughorn.","harry,  like   meet  old friend  colleague  mine--horace slughorn.","harry  like   meet  old friend  colleague  minehorace slughorn","harry  like   meet  old friend  colleague  minehorace slughorn","harry like meet old friend colleague minehorace slughorn","harri like meet old friend colleagu minehorac slughorn","harry like meet old friend colleague minehorace slughorn"
"Dumbledore","Slughorn","Horace...Well you know who this is. Harry Potter.","horace...well you know who this is. harry potter.","horace...well you know who this is. harry potter.","horace...well  know   . harry potter.","horacewell  know    harry potter","horacewell  know    harry potter","horacewell know harry potter","horacewel know harri potter","horacewell know harry potter"
"Slughorn","Dumbledore","Harry Potter.","harry potter.","harry potter.","harry potter.","harry potter","harry potter","harry potter","harri potter","harry potter"
"Bellatrix","Narcissa","Cissy! You mustn?t do this. He
can?t be trusted.","cissy! you mustn?t do this. he
can?t be trusted.","cissy! you mustn?t do this. he
can?t be trusted.","cissy!  mustn?t  . 
can?t  trusted.","cissy  mustnt   
cant  trusted","cissy  mustnt   
cant  trusted","cissy mustnt cant trusted","cissi mustnt cant trust","cissy mustnt cant trust"
"Narcissa","Bellatrix","The Dark Lord trusts him.","the dark lord trusts him.","the dark lord trusts him."," dark lord trusts ."," dark lord trusts "," dark lord trusts "," dark lord trusts ","dark lord trust","dark lord trust"
"Bellatrix","Narcissa","The Dark Lord is mistaken.","the dark lord is mistaken.","the dark lord is mistaken."," dark lord  mistaken."," dark lord  mistaken"," dark lord  mistaken"," dark lord mistaken","dark lord mistaken","dark lord mistake"
"Bellatrix","Narcissa","Or so I believe.","or so i believe.","or so i believe.","   believe.","   believe","   believe"," believe","believ","believe"
"Narcissa","Bellatrix","Well, who can one trust these days?","well, who can one trust these days?","well, who can one trust these days?","well,  can one trust  days?","well  can one trust  days","well  can one trust  days","well can one trust days","well can on trust dai","good can one trust day"
"Bellatrix","Narcissa","He lives in this Muggle dunghill?","he lives in this muggle dunghill?","he lives in this muggle dunghill?"," lives   muggle dunghill?"," lives   muggle dunghill"," lives   muggle dunghill"," lives muggle dunghill","live muggl dunghil","life muggle dunghill"
"Harry","Snape","THE CHOSEN ONE?","the chosen one?","the chosen one?"," chosen one?"," chosen one"," chosen one"," chosen one","chosen on","choose one"
"Harry","Snape","Young Wizard Destined to Kill You-Know-Who?","young wizard destined to kill you-know-who?","young wizard destined to kill you-know-who?","young wizard destined  kill -know-?","young wizard destined  kill know","young wizard destined  kill know","young wizard destined kill know","young wizard destin kill know","young wizard destine kill know"
"Snape","Harry","Run along, Wormtail.","run along, wormtail.","run along, wormtail.","run along, wormtail.","run along wormtail","run along wormtail","run along wormtail","run along wormtail","run along wormtail"
"Narcissa","Bellatrix","I?ve nowhere else to turn, Severus.","i?ve nowhere else to turn, severus.","i?ve nowhere else to turn, severus.","?ve nowhere else  turn, severus.","ve nowhere else  turn severus","ve nowhere else  turn severus","ve nowhere else turn severus","ve nowher els turn severu","have nowhere else turn severus"
"Bellatrix","Narcissa","You must be joking.","you must be joking.","you must be joking."," must  joking."," must  joking"," must  joking"," must joking","must joke","must joke"
"Narcissa","Snape","I know I ought not to be here.","i know i ought not to be here.","i know i ought not to be here."," know      ."," know      "," know      "," know ","know","know"
"Narcissa","Snape","The Dark Lord himself has forbidden me to speak of this --","the dark lord himself has forbidden me to speak of this --","the dark lord himself has forbidden me to speak of this --"," dark lord   forbidden   speak   --"," dark lord   forbidden   speak   "," dark lord   forbidden   speak   "," dark lord forbidden speak ","dark lord forbidden speak","dark lord forbid speak"
"Snape","Narcissa","If the Dark Lord has forbidden it, you ought not to speak.","if the dark lord has forbidden it, you ought not to speak.","if the dark lord has forbidden it, you ought not to speak.","  dark lord  forbidden ,     speak.","  dark lord  forbidden      speak","  dark lord  forbidden      speak"," dark lord forbidden speak","dark lord forbidden speak","dark lord forbid speak"
"Snape","Narcissa","Put it down, Bella.","put it down, bella.","put it down, bella.","put  , bella.","put   bella","put   bella","put bella","put bella","put bella"
"Snape","Narcissa","We mustn?t touch what isn?t ours.","we mustn?t touch what isn?t ours.","we mustn?t touch what isn?t ours."," mustn?t touch  isn?t ."," mustnt touch  isnt "," mustnt touch  isnt "," mustnt touch isnt ","mustnt touch isnt","mustnt touch isnt"
"Snape","Bellatrix","As it so happens I?m aware of your situation, Narcissa.","as it so happens i?m aware of your situation, narcissa.","as it so happens i?m aware of your situation, narcissa.","   happens ?m aware   situation, narcissa.","   happens m aware   situation narcissa","   happens m aware   situation narcissa"," happens m aware situation narcissa","happen m awar situat narcissa","happen be aware situation narcissa"
"Bellatrix","Snape","You? The Dark Lord told you?","you? the dark lord told you?","you? the dark lord told you?","?  dark lord told ?","  dark lord told ","  dark lord told "," dark lord told ","dark lord told","dark lord tell"
"Snape","Bellatrix","Your sister doubts me, Narcissa. Understandable.","your sister doubts me, narcissa. understandable.","your sister doubts me, narcissa. understandable."," sister doubts , narcissa. understandable."," sister doubts  narcissa understandable"," sister doubts  narcissa understandable"," sister doubts narcissa understandable","sister doubt narcissa understand","sister doubt narcissa understandable"
"Snape","Bellatrix","Over the years I have played my part well.","over the years i have played my part well.","over the years i have played my part well.","  years   played  part well.","  years   played  part well","  years   played  part well"," years played part well","year plai part well","year play part good"
"Snape","Bellatrix","So well I?ve deceived one of the greatest wizards of all time..","so well i?ve deceived one of the greatest wizards of all time..","so well i?ve deceived one of the greatest wizards of all time.."," well ?ve deceived one   greatest wizards   time.."," well ve deceived one   greatest wizards   time"," well ve deceived one   greatest wizards   time"," well ve deceived one greatest wizards time","well ve deceiv on greatest wizard time","good have deceive one great wizard time"
"Snape","Bellatrix","Dumbledore is a great wizard.","dumbledore is a great wizard.","dumbledore is a great wizard.","dumbledore   great wizard.","dumbledore   great wizard","dumbledore   great wizard","dumbledore great wizard","dumbledor great wizard","dumbledore great wizard"
"Snape","Bellatrix","Only a fool would question it.","only a fool would question it.","only a fool would question it.","  fool  question .","  fool  question ","  fool  question "," fool question ","fool question","fool question"
"Narcissa","Snape","I... I don?t doubt you, Severus.","i... i don?t doubt you, severus.","i... i don?t doubt you, severus.","...  don?t doubt , severus.","  dont doubt  severus","  dont doubt  severus"," dont doubt severus","dont doubt severu","do doubt severus"
"Bellatrix","Narcissa","You should feel honored, Cissy. As should Draco --","you should feel honored, cissy. as should draco --","you should feel honored, cissy. as should draco --","  feel honored, cissy.   draco --","  feel honored cissy   draco ","  feel honored cissy   draco "," feel honored cissy draco ","feel honor cissi draco","feel honor cissy draco"
"Narcissa","Bellatrix","He?s just a boy!","he?s just a boy!","he?s just a boy!","?s just  boy!","s just  boy","s just  boy","s just boy"," just boi","s just boy"
"Snape","Narcissa","I can?t change the Dark Lord?s mind.","i can?t change the dark lord?s mind.","i can?t change the dark lord?s mind."," can?t change  dark lord?s mind."," cant change  dark lords mind"," cant change  dark lords mind"," cant change dark lords mind","cant chang dark lord mind","cant change dark lord mind"
"Snape","Narcissa","But it might be possible for me to help Draco.","but it might be possible for me to help draco.","but it might be possible for me to help draco.","  might  possible    help draco.","  might  possible    help draco","  might  possible    help draco"," might possible help draco","might possibl help draco","may possible help draco"
"Snape","Narcissa","To provide some... protection.","to provide some... protection.","to provide some... protection."," provide ... protection."," provide  protection"," provide  protection"," provide protection","provid protect","provide protection"
"Narcissa","Snape","Do you mean it, Severus?","do you mean it, severus?","do you mean it, severus?","  mean , severus?","  mean  severus","  mean  severus"," mean severus","mean severu","mean severus"
"Snape","Narcissa","I can try.","i can try.","i can try."," can try."," can try"," can try"," can try","can try","can try"
"Narcissa","Snape","Oh, Severus, please, if you would","oh, severus, please, if you would","oh, severus, please, if you would","oh, severus, please,   ","oh severus please   ","oh severus please   ","oh severus please ","oh severu pleas","oh severus please"
"Bellatrix","Snape","Swear to it.","swear to it.","swear to it.","swear  .","swear  ","swear  ","swear ","swear","swear"
"Bellatrix","Snape","Make the Unbreakable Vow.","make the unbreakable vow.","make the unbreakable vow.","make  unbreakable vow.","make  unbreakable vow","make  unbreakable vow","make unbreakable vow","make unbreak vow","make unbreakable vow"
"Bellatrix","Snape","You see. It?s just empty words. Oh he?ll try.","you see. it?s just empty words. oh he?ll try.","you see. it?s just empty words. oh he?ll try."," see. ?s just empty words. oh ?ll try."," see s just empty words oh ll try"," see s just empty words oh ll try"," see s just empty words oh ll try","see  just empti word oh ll try","see s just empty word oh will try"
"Bellatrix","Snape","He?ll give it his best effort.","he?ll give it his best effort.","he?ll give it his best effort.","?ll give   best effort.","ll give   best effort","ll give   best effort","ll give best effort","ll give best effort","will give good effort"
"Bellatrix","Snape","But when it matters most he?ll slither back into his hole.","but when it matters most he?ll slither back into his hole.","but when it matters most he?ll slither back into his hole.","   matters  ?ll slither back   hole.","   matters  ll slither back   hole","   matters  ll slither back   hole"," matters ll slither back hole","matter ll slither back hole","matter will slither back hole"
"Snape","Bellatrix","Take out your wand.","take out your wand.","take out your wand.","take   wand.","take   wand","take   wand","take wand","take wand","take wand"
"Bellatrix","Snape","Will you, Severus Snape, watch over Draco Malfoy as he attempts to fulfill the Dark Lord?s wishes.","will you, severus snape, watch over draco malfoy as he attempts to fulfill the dark lord?s wishes.","will you, severus snape, watch over draco malfoy as he attempts to fulfill the dark lord?s wishes.","will , severus snape, watch  draco malfoy   attempts  fulfill  dark lord?s wishes.","will  severus snape watch  draco malfoy   attempts  fulfill  dark lords wishes","will  severus snape watch  draco malfoy   attempts  fulfill  dark lords wishes","will severus snape watch draco malfoy attempts fulfill dark lords wishes","will severu snape watch draco malfoi attempt fulfil dark lord wish","will severus snape watch draco malfoy attempt fulfill dark lord wish"
"Snape","Bellatrix","I will.","i will.","i will."," will."," will"," will"," will","will","will"
"Bellatrix","Snape","And will you, to the best of your ability, protect him from harm?","and will you, to the best of your ability, protect him from harm?","and will you, to the best of your ability, protect him from harm?"," will ,   best   ability, protect   harm?"," will    best   ability protect   harm"," will    best   ability protect   harm"," will best ability protect harm","will best abil protect harm","will good ability protect harm"
"Snape","Bellatrix","I will.","i will.","i will."," will."," will"," will"," will","will","will"
"Bellatrix","Snape","And should it prove necessary, if it seems Draco will fail... Will you yourself carry out the deed that the Dark Lord has ordered Draco to perform?","and should it prove necessary, if it seems draco will fail... will you yourself carry out the deed that the dark lord has ordered draco to perform?","and should it prove necessary, if it seems draco will fail... will you yourself carry out the deed that the dark lord has ordered draco to perform?","   prove necessary,   seems draco will fail... will   carry   deed   dark lord  ordered draco  perform?","   prove necessary   seems draco will fail will   carry   deed   dark lord  ordered draco  perform","   prove necessary   seems draco will fail will   carry   deed   dark lord  ordered draco  perform"," prove necessary seems draco will fail will carry deed dark lord ordered draco perform","prove necessari seem draco will fail will carri deed dark lord order draco perform","prove necessary seem draco will fail will carry deed dark lord order draco perform"
"Snape","Bellatrix","I will.","i will.","i will."," will."," will"," will"," will","will","will"
"Dumbledore","Slughorn","So why all the theatrics, Horace?","so why all the theatrics, horace?","so why all the theatrics, horace?","    theatrics, horace?","    theatrics horace","    theatrics horace"," theatrics horace","theatric horac","theatrics horace"
"Dumbledore","Slughorn","You weren?t perhaps expecting someone else, were you?","you weren?t perhaps expecting someone else, were you?","you weren?t perhaps expecting someone else, were you?"," weren?t perhaps expecting someone else,  ?"," werent perhaps expecting someone else  "," werent perhaps expecting someone else  "," werent perhaps expecting someone else ","werent perhap expect someon els","werent perhaps expect someone else"
"Slughorn","Dumbledore","S-someone else? I?m sure I don?t know what you mean.","s-someone else? i?m sure i don?t know what you mean.","s-someone else? i?m sure i don?t know what you mean.","s-someone else? ?m sure  don?t know   mean.","ssomeone else m sure  dont know   mean","ssomeone else m sure  dont know   mean","ssomeone else m sure dont know mean","ssomeon els m sure dont know mean","ssomeone else be sure do know mean"
"Slughorn","Dumbledore","Oh all right! The Death Eaters have been trying to recruit me for over a year.","oh all right! the death eaters have been trying to recruit me for over a year.","oh all right! the death eaters have been trying to recruit me for over a year.","oh  right!  death eaters   trying  recruit     year.","oh  right  death eaters   trying  recruit     year","oh  right  death eaters   trying  recruit     year","oh right death eaters trying recruit year","oh right death eater try recruit year","oh right death eater try recruit year"
"Slughorn","Dumbledore","Do you know what that?s like?","do you know what that?s like?","do you know what that?s like?","  know  ?s like?","  know  s like","  know  s like"," know s like","know  like","know s like"
"Slughorn","Dumbledore","One can only say no to these people so many times before they?","one can only say no to these people so many times before they?","one can only say no to these people so many times before they?","one can  say    people  many times  ?","one can  say    people  many times  ","one can  say    people  many times  ","one can say people many times ","on can sai peopl mani time","one can say people many time"
"Dumbledore","Slughorn","Take matters into their own hands?","take matters into their own hands?","take matters into their own hands?","take matters    hands?","take matters    hands","take matters    hands","take matters hands","take matter hand","take matter hand"
"Slughorn","Dumbledore","I never stay anywhere more than a week.","i never stay anywhere more than a week.","i never stay anywhere more than a week."," never stay anywhere    week."," never stay anywhere    week"," never stay anywhere    week"," never stay anywhere week","never stai anywher week","never stay anywhere week"
"Slughorn","Dumbledore","The Muggles who own this place are in the Canary Islands.","the muggles who own this place are in the canary islands.","the muggles who own this place are in the canary islands."," muggles    place    canary islands."," muggles    place    canary islands"," muggles    place    canary islands"," muggles place canary islands","muggl place canari island","muggles place canary island"
"Dumbledore","Slughorn","Well, I think it should be put back in order for them, don?t you? Mind?","well, i think it should be put back in order for them, don?t you? mind?","well, i think it should be put back in order for them, don?t you? mind?","well,  think    put back  order  , don?t ? mind?","well  think    put back  order   dont  mind","well  think    put back  order   dont  mind","well think put back order dont mind","well think put back order dont mind","good think put back order do mind"
"Dumbledore","Slughorn","That was fun. May I use the loo?","that was fun. may i use the loo?","that was fun. may i use the loo?","  fun. may  use  loo?","  fun may  use  loo","  fun may  use  loo"," fun may use loo","fun mai us loo","fun may use loo"
"Slughorn","Dumbledore","Don?t think I don?t know why you?re here, Albus!","don?t think i don?t know why you?re here, albus!","don?t think i don?t know why you?re here, albus!","don?t think  don?t know  ?re , albus!","dont think  dont know  re  albus","dont think  dont know  re  albus","dont think dont know re albus","dont think dont know re albu","do think do know re albus"
"Slughorn","Dumbledore","The answer is still no! Absolutely, unequivocally no!","the answer is still no! absolutely, unequivocally no!","the answer is still no! absolutely, unequivocally no!"," answer  still ! absolutely, unequivocally !"," answer  still  absolutely unequivocally "," answer  still  absolutely unequivocally "," answer still absolutely unequivocally ","answer still absolut unequivoc","answer still absolutely unequivocally"
"Slughorn","Harry","You look very like your father. Except for your eyes. You?ve got --","you look very like your father. except for your eyes. you?ve got --","you look very like your father. except for your eyes. you?ve got --"," look  like  father. except   eyes. ?ve got --"," look  like  father except   eyes ve got "," look  like  father except   eyes ve got "," look like father except eyes ve got ","look like father except ey ve got","look like father except eye have get"
"Harry","Slughorn","My mother?s eyes, yeah.","my mother?s eyes, yeah.","my mother?s eyes, yeah."," mother?s eyes, yeah."," mothers eyes yeah"," mothers eyes yeah"," mothers eyes yeah","mother ey yeah","mother eye yes"
"Slughorn","Harry","Lily. Lovely Lily. She was exceedingly bright -- your mother.","lily. lovely lily. she was exceedingly bright -- your mother.","lily. lovely lily. she was exceedingly bright -- your mother.","lily. lovely lily.   exceedingly bright --  mother.","lily lovely lily   exceedingly bright   mother","lily lovely lily   exceedingly bright   mother","lily lovely lily exceedingly bright mother","lili love lili exceedingli bright mother","lily lovely lily exceedingly bright mother"
"Slughorn","Harry","Even more impressive when one considers she was Muggle-born.","even more impressive when one considers she was muggle-born.","even more impressive when one considers she was muggle-born.","even  impressive  one considers   muggle-born.","even  impressive  one considers   muggleborn","even  impressive  one considers   muggleborn","even impressive one considers muggleborn","even impress on consid muggleborn","even impressive one consider muggleborn"
"Harry","Slughorn","One of my best friends is Muggle-born. She?s the best in our year.","one of my best friends is muggle-born. she?s the best in our year.","one of my best friends is muggle-born. she?s the best in our year.","one   best friends  muggle-born. ?s  best   year.","one   best friends  muggleborn s  best   year","one   best friends  muggleborn s  best   year","one best friends muggleborn s best year","on best friend muggleborn  best year","one good friend muggleborn s good year"
"Slughorn","Harry","Oh, but you mustn?t think I?m prejudiced! No, no, no! Your mother was one of my absolute favorites!","oh, but you mustn?t think i?m prejudiced! no, no, no! your mother was one of my absolute favorites!","oh, but you mustn?t think i?m prejudiced! no, no, no! your mother was one of my absolute favorites!","oh,   mustn?t think ?m prejudiced! , , !  mother  one   absolute favorites!","oh   mustnt think m prejudiced     mother  one   absolute favorites","oh   mustnt think m prejudiced     mother  one   absolute favorites","oh mustnt think m prejudiced mother one absolute favorites","oh mustnt think m prejud mother on absolut favorit","oh mustnt think be prejudice mother one absolute favorite"
"Slughorn","Harry","Look, there she is. Right up front.","look, there she is. right up front.","look, there she is. right up front.","look,   . right  front.","look    right  front","look    right  front","look right front","look right front","look right front"
"Slughorn","Harry","All mine, each and every one. Ex-students, I mean. You recognize Barnubas Cuffe, of course, editor of the Daily Prophet.","all mine, each and every one. ex-students, i mean. you recognize barnubas cuffe, of course, editor of the daily prophet.","all mine, each and every one. ex-students, i mean. you recognize barnubas cuffe, of course, editor of the daily prophet."," mine,   every one. ex-students,  mean.  recognize barnubas cuffe,  course, editor   daily prophet."," mine   every one exstudents  mean  recognize barnubas cuffe  course editor   daily prophet"," mine   every one exstudents  mean  recognize barnubas cuffe  course editor   daily prophet"," mine every one exstudents mean recognize barnubas cuffe course editor daily prophet","mine everi on exstud mean recogn barnuba cuff cours editor daili prophet","mine every one exstudents mean recognize barnubas cuffe course editor daily prophet"
"Slughorn","Harry","Always takes my owl should I want to register my opinion on the news of the day.","always takes my owl should i want to register my opinion on the news of the day.","always takes my owl should i want to register my opinion on the news of the day.","always takes  owl   want  register  opinion   news   day.","always takes  owl   want  register  opinion   news   day","always takes  owl   want  register  opinion   news   day","always takes owl want register opinion news day","alwai take owl want regist opinion new dai","always take owl want register opinion news day"
"Slughorn","Harry","And there?s Ambrosius Flume of Honeydukes. Sends a hamper of chocolate to the house each birthday.","and there?s ambrosius flume of honeydukes. sends a hamper of chocolate to the house each birthday.","and there?s ambrosius flume of honeydukes. sends a hamper of chocolate to the house each birthday."," ?s ambrosius flume  honeydukes. sends  hamper  chocolate   house  birthday."," s ambrosius flume  honeydukes sends  hamper  chocolate   house  birthday"," s ambrosius flume  honeydukes sends  hamper  chocolate   house  birthday"," s ambrosius flume honeydukes sends hamper chocolate house birthday"," ambrosiu flume honeyduk send hamper chocol hous birthdai","s ambrosius flume honeydukes send hamper chocolate house birthday"
"Slughorn","Harry","That is, when I had a house. And Gwenog Jones, captain of the Holyhead Harpies --free tickets whenever I want them. Of course, I haven?t been to a match in some time?","that is, when i had a house. and gwenog jones, captain of the holyhead harpies --free tickets whenever i want them. of course, i haven?t been to a match in some time?","that is, when i had a house. and gwenog jones, captain of the holyhead harpies --free tickets whenever i want them. of course, i haven?t been to a match in some time?"," ,     house.  gwenog jones, captain   holyhead harpies --free tickets whenever  want .  course,  haven?t    match   time?","      house  gwenog jones captain   holyhead harpies free tickets whenever  want   course  havent    match   time","      house  gwenog jones captain   holyhead harpies free tickets whenever  want   course  havent    match   time"," house gwenog jones captain holyhead harpies free tickets whenever want course havent match time","hous gwenog jone captain holyhead harpi free ticket whenev want cours havent match time","house gwenog jones captain holyhead harpy free ticket whenever want course havent match time"
